Product ID,Title,Variant Title,Vendor,Product Type,Handle,Tags,Price,Compare at Price,SKU,Available,Weight (grams),Primary Image
417099120679,Grey/Gray (salt and pepper) Hair Extension,"8""",Prarvi Hair,Hair,grey-bundle-extension-salt-and-pepper,Grey Hair,229.00,195.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/lYRguxOA.jpg?v=1751024431
417099120679,Grey/Gray (salt and pepper) Hair Extension,"10""",Prarvi Hair,Hair,grey-bundle-extension-salt-and-pepper,Grey Hair,239.00,195.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/lYRguxOA.jpg?v=1751024431
417099120679,Grey/Gray (salt and pepper) Hair Extension,"12'""",Prarvi Hair,Hair,grey-bundle-extension-salt-and-pepper,Grey Hair,249.00,195.00,GR12,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/lYRguxOA.jpg?v=1751024431
417099120679,Grey/Gray (salt and pepper) Hair Extension,"14""",Prarvi Hair,Hair,grey-bundle-extension-salt-and-pepper,Grey Hair,259.00,205.00,GR14,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/lYRguxOA.jpg?v=1751024431
417099120679,Grey/Gray (salt and pepper) Hair Extension,"16""",Prarvi Hair,Hair,grey-bundle-extension-salt-and-pepper,Grey Hair,269.00,215.00,GR16,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/lYRguxOA.jpg?v=1751024431
417099120679,Grey/Gray (salt and pepper) Hair Extension,"18""",Prarvi Hair,Hair,grey-bundle-extension-salt-and-pepper,Grey Hair,279.00,195.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/lYRguxOA.jpg?v=1751024431
417099120679,Grey/Gray (salt and pepper) Hair Extension,"20""",Prarvi Hair,Hair,grey-bundle-extension-salt-and-pepper,Grey Hair,339.00,195.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/lYRguxOA.jpg?v=1751024431
417099120679,Grey/Gray (salt and pepper) Hair Extension,"28""",Prarvi Hair,Hair,grey-bundle-extension-salt-and-pepper,Grey Hair,469.00,195.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/lYRguxOA.jpg?v=1751024431
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,10,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",149.00,120.00,NW10,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,12,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",159.00,130.00,NW12,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,14,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",169.00,140.00,NW14,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,16,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",179.00,150.00,NW16,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,18,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",189.00,160.00,NW18,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,20,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",259.00,170.00,NW20,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,22,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",279.00,180.00,NW22,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,24,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",299.00,190.00,NW24,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,26,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",419.00,210.00,NW26,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,28,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",439.00,230.00,NW28,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
3572535045,Luxurious Natural Wave Collection - Premium Indian Virgin Remy Hair Extensions,30,Prarvi,Hair,natural-wave-virgin-remy-hair-extensions,"Indian Natural Virgin Hair, Natural Virgin Color, Natural Wave, Retail",459.00,240.00,NW30,True,99,https://cdn.shopify.com/s/files/1/1059/1524/files/1_1.jpg?v=1751025385
7541163786282,High Quality Raw Hair Wigs Manufacturing,Default Title,Prarvi Hair,Hair,high-quality-raw-hair-wigs-manufacturing,Natural Virgin Color,270.00,300.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/shop-10.jpg?v=1738914692
7541160443946,Sample Hair,Default Title,Prarvi Hair,Hair,sample-hair,Natural Virgin Color,360.00,400.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/shop-09.jpg?v=1738914479
7541156773930,Afro Collection,Default Title,Prarvi Hair,Hair,natural-afro-collection,Indian Natural Virgin Hair,150.00,200.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/shop-08.jpg?v=1738914357
7541154414634,Hair Extensions,Default Title,Prarvi Hair,Hair,hair-extensions,Natural Virgin Color,540.00,600.00,,True,0,https://cdn.shopify.com/s/files/1/1059/1524/files/shop-07.jpg?v=1738914186
